Product,Gender,Accords,Description,AdditionalInfo,TopNotes,MiddleNotes,BaseNotes,love,like,ok,dislike,hate,winter,spring,summer,fall,day,night,,
Safwaan L'autre Musk Lattafa Perfumes,women and men,"powdery (100%), vanilla (76.5346%), musky (73.5643%), amber (67.6239%), coconut (65.6435%), iris (57.7226%), sweet (52.1781%), lactonic (45.0495%), animalic (44.0593%)",Safwaan L'autre Musk by Lattafa Perfumes is a Amber Vanilla fragrance for women and men. This is a new fragrance. Safwaan L'autre Musk was launched in 2023.,Not Found,"White Musk, Amber, Coconut, Iris, Heliotrope, Vanilla",,,100,54.1667,50,12.5,8.33333,60,100,46.6667,86.6667,93.3333,56.6667,,
Love and Oysters Scent Hunters,women and men,"marine (100%), woody (97.2781%), aromatic (60.7224%), salty (58.0001%), powdery (57.611%), musky (57.2223%), floral (55.861%), fresh (55.2778%), green (49.0558%), ozonic (47.6944%)","Love and Oysters by Scent Hunters is a Floral Aquatic fragrance for women and men. This is a new fragrance. Love and Oysters was launched in 2023. The nose behind this fragrance is Elise Benat. Top notes are Sea Notes, Hyacinth and Calone; middle notes are Solar Notes and Heliotrope; base notes are Driftwood, Musk, Woodsy Notes and Cedar.",Not Found,"Sea Notes, Hyacinth, Calone","Solar Notes, Heliotrope","Driftwood, Musk, Woodsy Notes, Cedar",65.2174,100,13.0435,21.7391,39.1304,25,56.25,100,12.5,75,12.5,,
Regina Di Fiori Moresque,women and men,"powdery (100%), white floral (91.3141%), amber (81.0952%), woody (78.0291%), vanilla (71.8981%), balsamic (70.8763%), aquatic (70.8763%), warm spicy (67.8102%), floral (58.1025%), fresh (56.5694%)","Regina Di Fiori by Moresque is a fragrance for women and men. This is a new fragrance. Regina Di Fiori was launched in 2023. Top notes are Watery Notes, Heliotrope and Bergamot; middle notes are Jasmine, Cinnamon, Nutmeg, Rose, Iris and Ylang Ylang; base notes are Copahu Balm, Sandal, Vanilla, Caramel, Musk, Patchouli and Amber.","Regina di Fiori is is a floral and marine composition inspired by the journey, aboard a vessel, that a young noblewoman, who lived in the late 1800s, undertook to rejoin her husband and became a queen. It?ôs the spirit of the sea with its sense of adventure and mystery that blends with the sweetness of a floral heart, where an intensely erotic Ylang Ylang and a dreamy, soft Indian Jasmine reign supreme. It?ôs the romantic waves of the heart, rhythmic and calm at first before the emotions??beats and the jolts of love set in.
TOP NOTES:
HELIOTROPE, BERGAMOTTO, AQUATIC ACCENTS
HEART NOTES:
JASMINE, YLANG YLANG, ROSE, CINNAMON, NUTMEG, IRIS
BASE NOTES:
VANILLA, CARAMEL ACCORD, COPAHU BALM, PATCHOULI, SANDAL WOOD, AMBER, MUSK","Watery Notes, Heliotrope, Bergamot","Jasmine, Cinnamon, Nutmeg, Rose, Iris, Ylang Ylang","Copahu Balm, Sandal, Vanilla, Caramel, Musk, Patchouli, Amber",100,29.4118,17.6471,11.7647,5.88235,75,100,87.5,87.5,100,62.5,,
Bani Day Three,women and men,"sweet (100%), tropical (93.5686%), citrus (86.8905%), musky (67.1024%), fruity (62.8976%), floral (62.5265%), coconut (52.2616%), powdery (51.7666%), fresh spicy (49.0459%), vanilla (47.3147%)","Bani by Day Three is a Floral Fruity fragrance for women and men. This is a new fragrance. Bani was launched in 2023. Top notes are Mango, Bergamot, Wild Orange and Mango Tree; middle notes are Magnolia, Coconut, Papaya and Jasmine; base notes are White Musk and Sugar Cane.","""Bani Eau De Parfum is an olfactive journey inspired by the culture of Bani in the Dominican Republic, a town known for cultivating the sweetest, and most aromatic mangoes in the world.
Experience the refreshing blend of tropical mango and wild orange in the top notes, complemented by an icy cold coconut and papaya in the heart. Delicate notes of jasmine and magnolia uplift, adding an elegant touch, while a photo-realistic sugarcane accord brings an earthy sweetness to the composition. In the base, white musks linger in the dry down, leaving an elegant scent trail.""","Mango, Bergamot, Wild Orange, Mango Tree","Magnolia, Coconut, Papaya, Jasmine","White Musk, Sugar Cane",100,76.6667,56.6667,16.6667,0,2.27273,90.9091,100,20.4545,88.6364,29.5455,,
Neon Aaron Terence Hughes,women and men,"citrus (100%), musky (76.6134%), sweet (61.7386%), woody (60.8637%), amber (55.4544%), powdery (52.7499%), aromatic (49.0909%), fresh spicy (47.8976%), green (47.1817%), fruity (47.1817%)","Neon by Aaron Terence Hughes is a fragrance for women and men. This is a new fragrance. Neon was launched in 2023. Top notes are Lime, Sweet Orange, Pink Pepper, Grapefruit and Bergamot; middle notes are Ambroxan, Pineapple and Galbanum; base notes are White Musk, Sandalwood, Patchouli and Vetiver.",Not Found,"Lime, Sweet Orange, Pink Pepper, Grapefruit, Bergamot","Ambroxan, Pineapple, Galbanum","White Musk, Sandalwood, Patchouli, Vetiver",100,62.069,41.3793,3.44828,3.44828,19.5122,97.561,100,53.6585,92.6829,63.4146,,
Balle Rouge Mes Bisous,women and men,"powdery (100%), iris (99.4214%), vanilla (95.9505%), amber (79.1737%), citrus (67.8924%), violet (64.7107%), sweet (62.252%), earthy (58.9254%), musky (58.0581%), soft spicy (54.8759%)","Balle Rouge by Mes Bisous is a fragrance for women and men. This is a new fragrance. Balle Rouge was launched in 2023. Top notes are Pink Pepper, Bergamot and Lemon; middle notes are Iris, Amber and Rose; base notes are Tonka Bean, Vanilla, Musk, Patchouli and Cedar.","It is a lipstick inspired scent. Balle Rouge means Red Bullet in French. Also Rouge refers to lipstick. The perfume represents the story of a character who enjoys being playful and flamboyant. She always has her eyes up high, seeks the excitement and follows the voice of her heart. The slogan is ""My name is trouble.""
""Red lipstick is her fame,
Setting hearts to flame.
Screaming
'My name is trouble!'
Like her tyranny?ôs on fire.""","Pink Pepper, Bergamot, Lemon","Iris, Amber, Rose","Tonka Bean, Vanilla, Musk, Patchouli, Cedar",100,25,17.8571,3.57143,0,88.2353,100,64.7059,100,58.8235,64.7059,,
Amber Haze Phlur,women and men,"amber (100%), warm spicy (79.9801%), powdery (64.2999%), musky (60.8001%), metallic (59.4%), vanilla (57.9998%), leather (53.5201%), mossy (52.4%), earthy (51.5601%), animalic (49.32%)","Amber Haze by Phlur is a Amber Floral fragrance for women and men. This is a new fragrance. Amber Haze was launched in 2023. The nose behind this fragrance is Donna Ramanauskas. Top note is Saffron; middle note is Jasmine; base notes are Amber, Musk, Vanilla and Oakmoss.",Not Found,Saffron,Jasmine,"Amber, Musk, Vanilla, Oakmoss",100,83.3333,66.6667,44.4444,0,72.2222,61.1111,55.5556,100,88.8889,100,,
R2B2 Space X Reyane Tradition,women and men,"citrus (100%), fresh spicy (82.0624%), fresh (65%), amber (60.6251%), fruity (54.4999%), warm spicy (53.6251%), woody (53.6251%), aromatic (53.1877%), vanilla (48.375%)","R2B2 Space X by Reyane Tradition is a fragrance for women and men. This is a new fragrance. R2B2 Space X was launched in 2023. Top notes are Citruses, Apple, Mandarin Orange and Bergamot; middle notes are Black Pepper, White Wood, Patchouli, Coriander and Pink Pepper; base notes are Tonka, Amber and Musk.","Introducing the R2B2 Fragrance Line by Reyane Tradition - a revolutionary fragrance collection that incorporates exclusive cutting-edge laser spray technology. The innovative spray mechanism uses laser-like streams to disperse micro-sized droplets of perfume evenly over your skin, creating a long-lasting and addicting scent experience. Each fragrance comes in a sleek, modern astronaut glass bottle that adds a futuristic touch to your perfume collection.
The futuristic and innovative world of space travel influences this fragrance. With top notes of bergamot, citrus, mandarin and a touch of apple, that creates an inviting embrace. The middle notes consist of rose berry, coriander, black pepper, patchouli, and white wood, adding a spicy and woody dimension to the fragrance. The bottom notes feature modern musk, amber and tonka that administer the perfect scent blend.","Citruses, Apple, Mandarin Orange, Bergamot","Black Pepper, White Wood, Patchouli, Coriander, Pink Pepper","Tonka, Amber, Musk",100,81.8182,4.54545,4.54545,0,28.5714,85.7143,100,54.2857,85.7143,31.4286,,
Dark Indulgence Vivamor Parfums,women and men,"chocolate (100%), sweet (85.1251%), nutty (78.125%), warm spicy (75.0625%), woody (62.3749%), vanilla (56.6874%), cacao (56.25%), citrus (51.875%), powdery (44.4375%)","Dark Indulgence by Vivamor Parfums is a Leather fragrance for women and men. This is a new fragrance. Dark Indulgence was launched in 2023. The nose behind this fragrance is Bertrand Duchaufour. Top notes are Dark Chocolate, Italian Mandarin and Brazilian Orange; middle notes are Hazelnut and Amberwood; base notes are Tahitian Vanilla, Musk and Ambergris.",Not Found,"Dark Chocolate, Italian Mandarin, Brazilian Orange","Hazelnut, Amberwood","Tahitian Vanilla, Musk, Ambergris",68.4211,100,10.5263,10.5263,15.7895,100,20,13.3333,100,60,100,,
Haze Extreme Aaron Terence Hughes,women and men,"citrus (100%), fruity (75.4057%), sweet (62.3513%), musky (60.3962%), green (58.3531%), aromatic (54.4686%), floral (53.5858%), fresh (52.1981%), amber (50.1801%), animalic (49.6757%)","Haze Extreme by Aaron Terence Hughes is a fragrance for women and men. This is a new fragrance. Haze Extreme was launched in 2023. Top notes are Pink Grapefruit, Sweet Orange, Lemon and Hedione; middle notes are Pineapple, Black Currant, Galbanum and Pink Pepper; base notes are White Musk, Ambergris, Rose and Patchouli.",Not Found,"Pink Grapefruit, Sweet Orange, Lemon, Hedione","Pineapple, Black Currant, Galbanum, Pink Pepper","White Musk, Ambergris, Rose, Patchouli",0,0,0,0,0,0,0,0,0,0,0,,
Raku Les Bains Guerbois,women and men,"musky (100%), amber (76.3855%), woody (65.8432%), powdery (56.9878%), fresh spicy (46.8675%), fruity (46.8675%), sweet (44.7591%)","Raku by Les Bains Guerbois is a fragrance for women and men. This is a new fragrance. Raku was launched in 2023. The nose behind this fragrance is J√©r√¥me Epinette. Top notes are Black Pepper and Lemon; middle notes are Fig and Clary Sage; base notes are Ambroxan, White Musk and Texas Cedar.","Japanese faience, crackled, milky, creamy, sensual, thick, radical.
Les Bains Paris loves the raku of its bar, consoles and tables that adorn his rooms and that the hand touches. A trail of perfume. Spaces. A mythical place.
Lemon, fig, cedar. Synesthesia.","Black Pepper, Lemon","Fig, Clary Sage","Ambroxan, White Musk, Texas Cedar",100,76.9231,42.3077,53.8462,11.5385,46.1538,92.3077,92.3077,65.3846,100,34.6154,,
Folia Granado,women and men,"citrus (100%), soft spicy (80.9274%), powdery (80.5217%), fresh spicy (79.7104%), vanilla (76.6665%), floral (75.7539%), sweet (75.4495%), fruity (71.7973%), woody (62.6667%), musky (60.4347%)","Folia by Granado is a Floral Fruity fragrance for women and men. This is a new fragrance. Folia was launched in 2023. The nose behind this fragrance is Christian Alori. Top notes are Nutmeg, Tangerine and Bergamot; middle notes are Osmanthus, Licorice and Orange Blossom; base notes are Vanilla, Sandalwood and Musk.",Not Found,"Nutmeg, Tangerine, Bergamot","Osmanthus, Licorice, Orange Blossom","Vanilla, Sandalwood, Musk",100,100,20.6897,20.6897,3.44828,41.1765,85.2941,58.8235,73.5294,100,70.5882,,
Colombian Cacao History Parfums,women and men,"warm spicy (100%), citrus (67.8057%), vanilla (66.6245%), cacao (65.4428%), patchouli (62.4895%), sweet (61.3077%), powdery (59.5357%), coffee (56.5823%), coca-cola (53.6285%), woody (51.8564%)","Colombian Cacao by History Parfums is a fragrance for women and men. This is a new fragrance. Colombian Cacao was launched in 2023. Top notes are Cacao Pod, Coffee, Bergamot and Citruses; middle notes are Patchouli, Coca-Cola, Jasmine and Rose Jam; base notes are Tonka Bean, Musk, Powdery Notes and Vanilla.","Cacao plantation in Colombia dates from 1622 near the city of Cali. The main type of cacao grown in Colombia until 1885 was Criollo. Cacao (Theobroma cacao L.) is considered a key crop in Colombian social programs aiming at alleviating rural poverty, promoting peace in post-conflict regions and, replacing crops used for illicit purposes. Colombia is thought to be part of the center of origin of cacao. Colombian Cacao is a powdery gourmand type of fragrance. Opens with Bergamot and good dose of Colombian Coffee and Cacao Pod. Later, starts to lean florally bit with Jasmine and very subtle Rose Jam. The floral notes start to vanish leaving the scent a bit earthy with Patchouli. An obtrusive note of Coca-Cola is present at heart to make the scent a little playful. All the good cheering notes of Powdery Vanilla, Tonka Bean and Musk are at the base composing a very soothing scent that is delicious and so interesting to discover.

FRAGRANCE NOTES

BERGAMOT ??COLOMBIAN COFFEE ??CACAO POD ??CITRUSES
JASMINE ??ROSE JAM ??PATCHOULY ??COCA-COLA
POWDERY NOTES ??VANILLA ??TONKA BEAN ??MUSK","Cacao Pod, Coffee, Bergamot, Citruses","Patchouli, Coca-Cola, Jasmine, Rose Jam","Tonka Bean, Musk, Powdery Notes, Vanilla",100,33.3333,28.5714,4.7619,4.7619,100,66.6667,38.8889,88.8889,38.8889,94.4444,,
Sol Salgado Extrait de Parfum Thomas de Monaco,women and men,"powdery (100%), yellow floral (84.7826%), vanilla (65.0726%), sweet (64.4925%), floral (62.7827%), salty (51.8839%)","Sol Salgado Extrait de Parfum by Thomas de Monaco is a Floral Woody Musk fragrance for women and men. This is a new fragrance. Sol Salgado Extrait de Parfum was launched in 2023. The nose behind this fragrance is Maurus Bachmann. Top notes are Linden Blossom, Mimosa and Cotton Flower; middle notes are Salt, Heliotrope and Ambergris; base notes are Vanilla, Sandalwood, Musk and Smoke.","The salt on sun-kissed skin, captured just before the heat takes a shimmering leave in the magic hour,
pure seduction of an endless summer.
Top notes: linden blossom, mimosa absolute, cotton flower accord
Heart notes: salt, heliotrope, ambergris
Base notes: sandalwood, skin musks, smoked vanilla
Available as a 50 ml Extrait de Parfum.","Linden Blossom, Mimosa, Cotton Flower","Salt, Heliotrope, Ambergris","Vanilla, Sandalwood, Musk, Smoke",100,91.6667,41.6667,12.5,16.6667,32.3529,100,91.1765,64.7059,88.2353,35.2941,,
Gelsomino (2023) Santa Maria Novella,women and men,"white floral (100%), musky (77.5348%), citrus (69.0695%), powdery (56.3721%), fresh spicy (54.4186%), yellow floral (52.7907%), sweet (52.4652%), floral (49.372%), aromatic (47.9068%), woody (47.9068%)","Gelsomino (2023) by Santa Maria Novella is a Floral fragrance for women and men. This is a new fragrance. Gelsomino (2023) was launched in 2023. Top notes are Bergamot, Tangerine and Pink Pepper; middle notes are Jasmine Sambac, Ylang Ylang and African Geranium; base notes are Musk and Cedarwood.","This is the story of Cosimo III de?ôMedici and of his dear ?úStufa dei Mugherini?? This is the story of a falling in love: the jasmine that struck the Granduca?ôs senses was of a special variety, that came from Goa in 1688. More similar to a small rose than to a classic jasmine, the Granduca Cosimo III had a special greenhouse built for it, and banned its cultivation in all the realm. Only his trusted botanics could perpetrate the variety in the secret ?úStufa dei Mugherini?? the warm greenhouse made for the Goa jasmines in the Villa Medicea di Castello, that still enchants us, today.","Bergamot, Tangerine, Pink Pepper","Jasmine Sambac, Ylang Ylang, African Geranium","Musk, Cedarwood",100,89.2857,21.4286,14.2857,7.14286,13.6364,100,77.2727,18.1818,86.3636,18.1818,,
Encens Cuivre Eau de Parfum Ojar,women and men,"amber (100%), balsamic (69.5652%), warm spicy (69.3311%), woody (65.5854%), patchouli (65.1171%), fresh spicy (49.8997%), aromatic (49.7828%), earthy (44.0469%), musky (44.0469%)","Encens Cuivre Eau de Parfum by Ojar is a fragrance for women and men. This is a new fragrance. Encens Cuivre Eau de Parfum was launched in 2023. The nose behind this fragrance is Jordi Fern√°ndez. Top notes are elemi and Brazilian Rosewood; middle notes are Frankincense, Patchouli and Myrrh; base notes are Musk, Ambergris and Vanila.","Founded by Sheikha Hind Bahwan, OJAR is a masterful tribute to the ancient artistry and rituals of MiddleEastern perfume craftsmanship. It weaves a passionate and inspiring tapestry, a sensorial experience, that transcends time and borders, achieved through a fusion of fragrances from both the East and West.
This niche perfume Maison takes its name from ""HOJARI"" signifying the purest essence of Frankincense found exclusively in the Sultanate of Oman. Frankincense, steeped in profound history, serves as a revered cornerstone of OJAR's fragrant collection. This sacred resin is renowned not only for its captivating perfumed scent, but also for the powerful and elevating impact it bestows upon the body, mind, and spirit when burned. Introducing ENCENS CUIVRE, the latest gem in OJAR's captivating Frankincense collection??a fragrance that melds the enchantment of Arabian tales with modernity, culminating in an oneiric masterpiece. Inspired by age-old legend, Encens Cuivre embarks on an olfactory journey, crafting a narrative from three treasures from the depths of the Earth, captivating all who dare to explore the mystical realms of the East: Frankincense, Myrrh, and Gold. These rare gifts encapsulate ancient stories of spirituality and opulence, across centuries. Imagine the fusion of these precious natural resins: Frankincense, a sacred offering from Oman's landscapes; Myrrh, a mystical gem from the heart of Africa; and Elemi, a secret treasure from the depths of Asia. This harmonious symphony of notes unfolds on your skin like a majestic coronation. Combined with the finest natural Vanilla essence, also referred to as 'the Gold of the perfumers', and a base of Musk, this fragrance transforms into an elixir of unparalleled luxury, enveloping you in a warm, comforting embrace that evokes an everlasting allure. Encens Cuivre is an exquisite unisex Vanilla fragrance, magnetized by smoky Incense notes and caressed by the velvety touch of Musk. It weaves a hypnotic, radiant sillage?îa fragrant trail that bears the soft murmurs of ancient tales.
Top notes: Elemi, Rosewood
Middle notes: Patchouli, Myrrh, Frankincense
Base notes: Ambergris, Musk, Vanilla
PERFUMER Jordi Fern√°ndez

Available in Absolute perfume oil and Eau de Parfum 100ml.","elemi, Brazilian Rosewood","Frankincense, Patchouli, Myrrh","Musk, Ambergris, Vanila",100,12.5,12.5,0,0,81.8182,63.6364,9.09091,81.8182,27.2727,100,,
Hello Darkness Scent Hunters,women and men,"woody (100%), warm spicy (72.0001%), rose (69.695%), aromatic (67.561%), fresh spicy (59.0244%), amber (59.0244%), patchouli (55.6099%), floral (55.183%), musky (53.9023%), earthy (52.1953%)","Hello Darkness by Scent Hunters is a Chypre Floral fragrance for women and men. This is a new fragrance. Hello Darkness was launched in 2023. The nose behind this fragrance is Olaf Larsen. Top notes are Bergamot and Saffron; middle notes are Rose, Geranium, Carnation, Jasmine and Lily-of-the-Valley; base notes are Patchouli, Guaiac Wood, Vetiver, Musk, Labdanum, Papyrus and Amber.",Not Found,"Bergamot, Saffron","Rose, Geranium, Carnation, Jasmine, Lily-of-the-Valley","Patchouli, Guaiac Wood, Vetiver, Musk, Labdanum, Papyrus, Amber",78.9474,100,5.26316,10.5263,5.26316,58.3333,66.6667,25,100,41.6667,41.6667,,
Clary Fig Carl Kling Parfums,women and men,"aromatic (100%), woody (88.085%), powdery (70.9573%), musky (67.2341%), fruity (65.7447%), fresh spicy (59.787%), sweet (58.298%), soft spicy (56.8085%), citrus (52.3402%), lactonic (50.1065%)","Clary Fig by Carl Kling Parfums is a Aromatic fragrance for women and men. This is a new fragrance. Clary Fig was launched in 2023. The nose behind this fragrance is Antoine Lie. Top notes are Caraway and Lemon; middle notes are Clary Sage, Fig and Milk; base notes are Sandalwood and Musk.",Not Found,"Caraway, Lemon","Clary Sage, Fig, Milk","Sandalwood, Musk",100,21.0526,26.3158,0,0,29.4118,100,76.4706,52.9412,88.2353,41.1765,,
Everlasting Magic Bath & Body Works,women and men,"fruity (100%), musky (75.2941%), sweet (69.5295%), powdery (52.6471%)",Everlasting Magic by Bath & Body Works is a fragrance for women and men. This is a new fragrance. Everlasting Magic was launched in 2023.,Not Found,"Berry Fruits, Musk, Flower Petals",,,100,87.5,42.5,7.5,2.5,45,26.6667,20,100,70,73.3333,,
Belo Pomelo Phebo,women and men,"citrus (100%), powdery (57.9999%), violet (53.7735%), musky (49.2831%), fresh spicy (47.0378%), earthy (45.1888%)","Belo Pomelo by Phebo is a Citrus fragrance for women and men. This is a new fragrance. Belo Pomelo was launched in 2023. The nose behind this fragrance is Christian Alori. Top notes are Pomelo, Grapefruit, Pink Pepper and Mandarin Orange; middle notes are Violet, Saffron and Iris; base notes are Musk, Moss and Amber.",Not Found,"Pomelo, Grapefruit, Pink Pepper, Mandarin Orange","Violet, Saffron, Iris","Musk, Moss, Amber",100,46.4286,21.4286,7.14286,0,11.1111,81.4815,85.1852,51.8519,100,18.5185,,
Now White RAVE,women and men,"citrus (100%), musky (77.6001%), woody (76.9%), amber (69.1997%), powdery (68.5001%), patchouli (65%), fresh spicy (63.2497%), fruity (57.9998%), fresh (47.5%), green (47.5%)","Now White by RAVE is a fragrance for women and men. This is a new fragrance. Now White was launched in 2023. Top notes are Grapefruit and Bergamot; middle notes are Green Apple and Patchouli; base notes are Amber, Musk and Cashmeran.",Not Found,"Grapefruit, Bergamot","Green Apple, Patchouli","Amber, Musk, Cashmeran",100,70,30,5,10,17.3913,95.6522,95.6522,60.8696,100,30.4348,,
Shah'ryar Rania J,women and men,"woody (100%), fruity (98.7846%), oud (92.5313%), sweet (80.0248%), caramel (73.4246%), green (66.1294%), floral (65.1734%), fresh spicy (63.3503%), amber (63.0027%), vanilla (61.2657%)","Shah'ryar by Rania J is a Amber fragrance for women and men. This is a new fragrance. Shah'ryar was launched in 2023. The nose behind this fragrance is Rania Jouaneh. Top notes are Caramel, Osmanthus and Bergamot; middle notes are Plum and Labdanum; base notes are Agarwood (Oud), Beeswax, Hay, Sandalwood, Vanilla, Vetiver, Cedar, Oakmoss and Musk.",Not Found,"Caramel, Osmanthus, Bergamot","Plum, Labdanum","Agarwood (Oud), Beeswax, Hay, Sandalwood, Vanilla, Vetiver, Cedar, Oakmoss, Musk",100,51.8519,18.5185,11.1111,3.7037,100,34.4828,10.3448,82.7586,44.8276,86.2069,,
Green Tea Citron Freesia Elizabeth Arden,women and men,"citrus (100%), fresh spicy (84.1618%), floral (70.0836%), green (66.4664%), aromatic (61.676%), fresh (55.0279%), leather (53.4637%), musky (51.5084%), smoky (48.7709%), woody (44.6646%)","Green Tea Citron Freesia by Elizabeth Arden is a Citrus Aromatic fragrance for women and men. This is a new fragrance. Green Tea Citron Freesia was launched in 2023. Top notes are Green Tea, Bergamot, Lemongrass and Mandarin Orange; middle notes are Reseda, Freesia, Cyclamen, Black Pepper and Jasmine Sambac; base notes are Mate, Birch and Musk.",Not Found,"Green Tea, Bergamot, Lemongrass, Mandarin Orange","Reseda, Freesia, Cyclamen, Black Pepper, Jasmine Sambac","Mate, Birch, Musk",29.7297,100,32.4324,13.5135,5.40541,0,83.3333,96.6667,6.66667,100,3.33333,,
Bonne Etoile Baby Dior Dior,women and men,"musky (100%), powdery (64.9999%)",Bonne √âtoile Baby Dior by Dior is a Floral Fruity fragrance for women and men. This is a new fragrance. Bonne √âtoile Baby Dior was launched in 2023. The nose behind this fragrance is Francis Kurkdjian. Top note is Green Pear; middle note is Wild Rose; base note is White Musk.,"""The evocation of sweetness, an invitation to the tenderness of childhood, the age when the senses awaken, where a child's laughter enchants and dreams reign. In 1970, a fragrance line called Baby Dior was born: today, it is reborn with a collection full of softness, inspired by the ""Bonne √âtoile"" (Lucky Star).

Bonne √âtoile is the scented water for babies and children from Baby Dior, a poetic co-creation born of the encounter between Francis Kurkdjian, Dior Perfume Creative Director, who composed the fragrance, and Cord√©lia de Castellane, Artistic Director of Baby Dior, who imagined the dreamy decor of the bottles.

This scented water is formulated without alcohol and with 98%* natural-origin ingredients. It is a childhood memory that comes to life in soft notes of pear, wild rose, and white musks.

The pastel-coloured bottle of Bonne √âtoile is adorned with an imaginary and fantastical garden of Granville, featuring a menagerie and colorful hot air balloons, a Toile de Jouy pattern specially created for the occasion.

More than a scented water, it is an object imbued with reverie that can be personalised with the colored ribbon of your choice to accompany your child like their lucky star.""
Pear Note: A juicy, dewy, and green note.
Wild Rose Note: A soft floral note.
White Musk Note: A cottony, velvety note.
""For Baby Dior, I wanted to create a scented water for little ones that is as simple as they are. A child says 'yes,' says 'no,' 'I like' or 'I don't like.' A formula imposed itself, like an impulse, a smile. I wanted to bypass the inevitable orange blossom, which has long been the signature scent of childhood, and find a soothing fragrance in a different formula: a dewy and green pear note, brightened by wild rose, wrapped in soft, cottony, protective musks.??
Francis Kurkdjian, Perfume Creative Director, Parfums Dior
Available in two shades (pink and green) as 100 ml Eau de Senteur.",Green Pear,Wild Rose,White Musk,100,36.3636,9.09091,27.2727,72.7273,100,100,80,100,100,100,,
Magnolia (2023) Santa Maria Novella,women and men,"floral (100%), rose (65.8535%), white floral (57.3171%), musky (57.3171%), citrus (49.1219%), fresh spicy (47.0731%), powdery (44.1708%)","Magnolia (2023) by Santa Maria Novella is a Floral Fruity fragrance for women and men. This is a new fragrance. Magnolia (2023) was launched in 2023. Top notes are White Rose and Geranium; middle notes are Magnolia, Jasmine Sambac and Champaca; base notes are Musk and Amber.","Magnolia Grandiflora is a grandiose evergreen tree whose traces can be found also in the prehistoric era. It questions our notion of time with its unusual ability to pass through times, to adapt to different environments, and to preserve its one-of-a-kind individuality. A rare talent that reminds of Officina Profumo-Farmaceutica di Santa Maria Novella?ôs own history. An awe-inspiring exemplar of Magnolia Grandiflora also graces the facade of Villa Medici di Castello: this species arrived in Florence in the 18th century, and it was soon grown in the Medici's family possessions.","White Rose, Geranium","Magnolia, Jasmine Sambac, Champaca","Musk, Amber",84,100,20,12,8,17.3913,100,82.6087,34.7826,95.6522,21.7391,,
...& The Pea Bel Rebel,women and men,"floral (100%), violet (80.4503%), powdery (75.4055%), green (69.099%), citrus (62.7929%), lavender (55.2253%), woody (51.4416%), aromatic (45.1351%)",...& The Pea by Bel Rebel is a Floral Green fragrance for women and men. This is a new fragrance. ...& The Pea was launched in 2023.,Not Found,"Pea, Violet, Magnolia, Lavender, Cedar, Bergamot, Musk",,,100,85.7143,0,42.8571,71.4286,80,40,40,100,40,80,,
Tartine & Chocolate Ptimusc Tartine et Chocolat,women and men,"sweet (100%), almond (82.5002%), white floral (73.7501%), musky (65%), nutty (61.5002%), fruity (56.2499%), citrus (51.8749%), chocolate (47.5002%), powdery (47.5002%)",Tartine & Chocolate Ptimusc by Tartine et Chocolat is a Amber Vanilla fragrance for women and men. This is a new fragrance. Tartine & Chocolate Ptimusc was launched in 2023. The nose behind this fragrance is Celine Perdriel. Top notes are Almond and Orange Blossom; middle note is White Chocolate; base note is Musk.,"Ptisenbon represents the enchanting aroma of early childhood, characterized by its citrus highlights complemented by earthy undertones, evoking a refreshing sensation. Givenchy is introducing Ptisenbon Musc, an embracing scent that feels like a gentle kiss and a warm hug.","Almond, Orange Blossom",White Chocolate,Musk,60,100,80,20,20,83.3333,83.3333,33.3333,100,83.3333,50,,
Humor Transforma Natura,women and men,"citrus (100%), aromatic (91.7371%), fresh spicy (75.8833%), aquatic (66.5454%), sweet (63.119%), fruity (61.238%), fresh (59.1558%), herbal (54.4866%), woody (51.7323%), warm spicy (46.2909%)","Humor Transforma by Natura is a Woody Spicy fragrance for women and men. This is a new fragrance. Humor Transforma was launched in 2023. The nose behind this fragrance is Ver√¥nica Kato. Top notes are Grapefruit, Watery Notes, Pineapple, Bergamot, Pear, Priprioca, Lemon, Timur and Cardamom; middle notes are Lavender, Geranium, Sage and Violet; base notes are Cedar, Musk, Moss, Praline, Amber and Patchouli.",Not Found,"Grapefruit, Watery Notes, Pineapple, Bergamot, Pear, Priprioca, Lemon, Timur, Cardamom","Lavender, Geranium, Sage, Violet","Cedar, Musk, Moss, Praline, Amber, Patchouli",59.0909,100,36.3636,13.6364,6.81818,20.3125,82.8125,82.8125,40.625,100,34.375,,
